management,worklife,company,rank,culture,compensation,review,security,industry
3.9,3.9,Walt Disney Parks and Resorts,1,4.3,3.9,The work environment is very fast pace but isn't stressful at all mainly because of the union and the difficulties of getting fired. Most of the time the environment is very friendly.,3.9,"Restaurants, Travel and Leisure"
3.9,3.9,Walt Disney Parks and Resorts,1,4.3,3.9,"I worked at Walt Disney World in their College Program. The management team at my location was not supportive or helpful. Didn't give good feedback on how to do better with your job, they would only be little you. Had better jobs here in Chico.",3.9,"Restaurants, Travel and Leisure"
3.9,3.9,Walt Disney Parks and Resorts,1,4.3,3.9,able to reach each and every guest for 18 years I loved the ability to make guest smile and have a smile in return. They always left feeling like they were apart of my family and that is what I considered them family.,3.9,"Restaurants, Travel and Leisure"
3.9,3.9,Walt Disney Parks and Resorts,1,4.3,3.9,In my experience as a intern is definitely  not what i expected. The company is not what it looks like once your are inside. But it may be different for others.,3.9,"Restaurants, Travel and Leisure"
3.6,3.9,Chevron,44,3.8,3.6,i learned about the retail business of the job. i met some real nice people up there and we are still friends till this day. over all it was a cool place to be at,3.4,Energy and Utilities
3.6,3.9,Chevron,44,3.8,3.6,"Fun work place. A typical day at work would consist of clocking in and getting straight to work. From restocking shelves to cleaning prep area for coworkers on a busy day. It would be lots of work but enjoyable. I learned so much working in a busy environment, how to multitask. From taking orders to handling the grill to prepping food all while greeting and interacting with  customers . At first the hardest part of the job was the weekends when we would get so many customers and trying to mulitask but my coworker/ manager showed me some tips and it was so much easier. Most enjoyable part of the day was when customers would come back because of the great service.",3.4,Energy and Utilities
3.6,3.9,Chevron,44,3.8,3.6,Chevron is great place to work long shifts so you get your 40 hours in great pay excellent management good pay and flexibility with any type of schedule,3.4,Energy and Utilities
3.6,3.9,Chevron,44,3.8,3.6,"Excellent Benefit  including but not limited to pension, flex work schedule, life balance, health, dental and life insurance, 401k match in addition to competitive pay.",3.4,Energy and Utilities
3.6,3.9,Chevron,44,3.8,3.6,"Enjoyed working here. People are nice, work life balance is good. Will recommend anyone to work here. Management is nice too. Only thing is, since its a huge company, opportunity is hard to come by.",3.4,Energy and Utilities
3.6,3.9,Chevron,44,3.8,3.6,I know we have to make money and be profitable but you don't have to constantly remind me that we have an obligation to the investors.  ,3.4,Energy and Utilities
3.6,4,JetBlue Airways Corporation,43,4.2,4,"Watched the organization grow organically. Great benefits and values. Was awesome to have gotten in when the company was building the brand, felt a part of something special.",3.7,Transport and Freight
3.9,3.9,Walt Disney Parks and Resorts,1,4.3,3.9,Walt Disney is a great company to work for but it is WORK.  All jobs in the company require excellent customer service skills.  If you participate in college internship program they will pay you and provide you with housing.  Keep in mind it is like a dormitory situation with two people per room,3.9,"Restaurants, Travel and Leisure"
3.9,3.9,Walt Disney Parks and Resorts,1,4.3,3.9,"If you're looking for a summer job this is it. If you're looking for a way to build your career, you're in for a long hard climb to the top. Immediate management team varies depending on your exact work location in the park, but tend to be good. Management any higher up doesn't know who you are. Can be physically very draining and tends to make your whole life revolve around the parks. Pays a little above minimum wage, but annual raises are the same for all employees at the same level and pay increases with promotions are small. Can get health benefits after working part-time for 3 years or if you achieve full-time status, but you may have to work that long just to get full-time. Everyone is hired in as part-time. Scheduled according to seniority. Work there for at least a year and you will be worked just under the number hours that would qualify you for full-time. Disney will expect you to work your schedule around them. Breaks and lunches are very strictly clocked. Fifteen minutes per break and thirty minutes for lunch (you must use this time to actually go get your lunch too).",3.9,"Restaurants, Travel and Leisure"
3.7,3.9,Trader Joe's,46,4.2,4.1,"I enjoyed this job the most in my life. You were required, which was easy, to provide outstanding customer service on the grocery sales floor and register. You worked at different areas throughout the store everyday and each day felt like a fun new experience.",3.7,Retail
3.6,3.9,Chevron,44,3.8,3.6,as a field specialist the job was easy and the money was great. Everything about this place was just amazing. It made my transition out of the military really easy.,3.4,Energy and Utilities
3.6,3.9,Chevron,44,3.8,3.6,"It is a uiet job but we find the day to day to the customer, where there are days very good but others not so good.",3.4,Energy and Utilities
3.6,3.9,Chevron,44,3.8,3.6,"Due to the oil downturn, and subsequent multiple severance actions, the talent pool has been greatly reduced.  My experience area, within HR, was also impacted.  Therefore, more work for fewer people.  But overall, Chevron has a great employee infrastructure and superior benefits.  Especially for those who make it a career there.",3.4,Energy and Utilities
3.6,3.9,Chevron,44,3.8,3.6,"I enjoy the team I work with. Great management. pay is less than desirable, but understandable for the turnaround rate here. super easy job. cleaning, money handling, light cooking. Frustrations because many items i find are expired and mngmt says its okay still. that the best by date is merely a suggested date. grosses me out.",3.4,Energy and Utilities
3.6,3.9,Chevron,44,3.8,3.6,A typical work day would be stocking whatever needed to be stocked. I would check people out and help them with whatever they needed. During evening we would clean the store. The hard part is having someone not do their job on their sift so it fell back onto the other persons sift. The part I enjoyed about the job was meeting new people and see regular customers come in everyday. I learned that if everyone works together to get something done it makes the job so much easier and less stressful.,3.4,Energy and Utilities
3.6,3.9,Chevron,44,3.8,3.6,The management was wishy washy & they were not flexible with the hours we would have to work. The communication was also an issue. I think they should have also had 2 workers for the overnight shifts until at least 2/3AM it's kind of dangerous for a woman to go to the dumpster late at night by herself,3.4,Energy and Utilities
3.6,3.9,Chevron,44,3.8,3.6,A typical work day would be going in after school and stocking whatever needed to be stocked. The rest of my day I would check people out and help them with whatever they needed. During evening we would clean the store. The hard part is having someone not do their job on their sift so it fell back onto the other persons sift. The part I enjoyed about the job was meeting new people and see regular customers come in everyday. I learned that if everyone works together to get something done it makes the job so much easier and less stressful.,3.4,Energy and Utilities
3.6,3.9,Chevron,44,3.8,3.6,"Very basic standard slow structure besides your occasional rush here and there that wasn't to much once you learned your cash register, but it was nice meeting people",3.4,Energy and Utilities
3.6,3.9,Chevron,44,3.8,3.6,This company was pretty good to start with the hours were decent the work load was not hard and the people you worked with were good to be around. Overall I liked it.,3.4,Energy and Utilities
3.6,4,JetBlue Airways Corporation,43,4.2,4,Overall corporate culture is great and if you can relocate to NY then it would be a great job.  Local airports struggle to keep good management.  Work is fun and people are generally good.,3.7,Transport and Freight
3.6,4,JetBlue Airways Corporation,43,4.2,4,JetBlue is a relatively new airline. They love to hire younger people who are attending college or have recently graduated. Great job for return missionaries who are bilingual. Not the best place for advancement if you do not have a college degree or are over 50.,3.7,Transport and Freight
3.6,4,JetBlue Airways Corporation,43,4.2,4,Just know you must be able to work any shifts. You will either love it or hate it. In my case I loved it! Pay isn't the best for all you do but you do get good benefits so it balances out.,3.7,Transport and Freight
3.6,4,JetBlue Airways Corporation,43,4.2,4,Great place to work- lots of team work involved. A lot of communication skills required in order to get the job done right! Wonderful company to work for with steady raises throughout employment and amazing benefits!,3.7,Transport and Freight
3.6,4,JetBlue Airways Corporation,43,4.2,4,Wonderful when I started but since this last CEO took over it's extremely hostile place to work at. Rules are in the grey area always benefiting the employer.,3.7,Transport and Freight
3.6,4,JetBlue Airways Corporation,43,4.2,4,"This is a great company to work for.  A fun place where everyday is a new challenge.  If your eager to learn, to become a leader, to try new opportunities and hungry to grow.  You will have the opportunity to become successful as long as you are willing to work hard.  I enjoy what I do.",3.7,Transport and Freight
3.6,4,JetBlue Airways Corporation,43,4.2,4,Productive and fun work place and great company to work for. Great co workers to work with and just an amazing company to work for. The traveling I can do.,3.7,Transport and Freight
3.7,4.1,ConocoPhillips,48,3.9,4.2,Good strategic views.  Hard working team work environment.  Collaborative environment.  Compensation and benefits were very good.  Really enjoyed working here.,3.4,Agriculture and Extraction
3.7,3.9,Trader Joe's,46,4.2,4.1,great place to work and very good pay. great managers great staff and very good work stations very clean and straight forward one of the best places to work,3.7,Retail
3.7,3.9,Trader Joe's,46,4.2,4.1,Healthy grocer that provides by far the greatest most interesting workplace environment for offers on dry goods as well as fresh food produce available to the general public.,3.7,Retail
3.7,3.9,Trader Joe's,46,4.2,4.1,"Good employee benefits,Job Security/advancement and management understand and recognize about family values.",3.7,Retail
3.7,3.9,Trader Joe's,46,4.2,4.1,"Great job if you have other endeavors going on, and just need supplemental income. Very welcoming environment in regards to appearance. I was fully able to show my tattoos. Others had piercings and creative hair; As long as your look is not outrageous or offensive, you will be welcomed.",3.7,Retail
3.7,3.9,Trader Joe's,46,4.2,4.1,"The application process is quite a, well, process hah. But it pays off. i applied the week of halloween, and didn't end up getting a first interview until late november, then second interview with the general manager in early december. They where both pretty standard questions, why trader joes, your relevant experience, how you would handle certain situations. ",3.7,Retail
3.7,3.9,Trader Joe's,46,4.2,4.1,Management doesn't care about the crew and will work them into the ground and replace them which is why the amount of the pay raises has dropped over the years,3.7,Retail
3.6,3.9,Chevron,44,3.8,3.6,"Not bad, learned leadership skills, made some friends and overall enjoyed the job. Easy job, easy learning curve, many opportunities to advance in pay and jobs.",3.4,Energy and Utilities
3.6,3.9,Chevron,44,3.8,3.6,"Difficult schedule, with rotating 12hr shifts. Good pay and benefits, matching 401(k). Dangerous work environment. Opportunity for growth. Large corporation.",3.4,Energy and Utilities
3.6,3.9,Chevron,44,3.8,3.6,I enjoyed my time working at Chevron. The people I worked with and customers I encountered made it a fun experience. I learned a lot and was able to take my experience to my next employer and grow with them.,3.4,Energy and Utilities
3.6,3.9,Chevron,44,3.8,3.6,"If you like cars then you'll like washing the nice cars that sometimes come in, but the management is normally very poor. They will not teach you the things you need to know but will get mad you don't know how to do them. If you bond with your customers and coworkers than it's bearable.",3.4,Energy and Utilities
3.6,3.9,Chevron,44,3.8,3.6,I enjoyed the position as a cashier. The management was not that great at the time I worked there. I enjoyed my customers. I loved the hours I worked.,3.4,Energy and Utilities
3.7,4.1,Intuit,45,4.1,4.2,Intuit offers great benefits and a very collaberative working environment.,3.4,Internet and Software
3.6,4,JetBlue Airways Corporation,43,4.2,4,My time here was fun to work. You will learn alot about the airline industry no matter what position you take. the benefits are pretty good. Can be stressful at times bt that comes with any Job.,3.7,Transport and Freight
3.6,4,JetBlue Airways Corporation,43,4.2,4,"Training was extensive. Flight benefits were great. Management was fun and understanding. If you are willing to work hard there is room for advancement. Hard work, but fun place to be.",3.7,Transport and Freight
3.6,4,JetBlue Airways Corporation,43,4.2,4,"I worked on a school project for JetBlue, where I interfaced with a range of people. Everyone was nice and worked very hard. I did notice that some people worked long hours and it seemed somewhat stressful.",3.7,Transport and Freight
3.6,4,JetBlue Airways Corporation,43,4.2,4,"The pay was very good.  Management was compassionate, fair and professional.  The work was duties were explained and accurate.  Co workers were great people.",3.7,Transport and Freight
3.6,4,JetBlue Airways Corporation,43,4.2,4,"The culture and work environment was great when it started in 1999. As it grows, the company thinks less about the employees and more about profits. They are not supportive and there is no job security whatsoever. They don't have a contract, so work rules and conditions change regularly without notice and without input from the employees. It's unfortunate, because it's a great airline for the passengers. Employees just aren't valued at all.",3.7,Transport and Freight
3.6,4,JetBlue Airways Corporation,43,4.2,4,"JetBlue Airways is a great place to start a career. Everyday operations at this company is fun and teaches the concept of team work. JetBlue Airways is on the rise: lots of growth, lots of new destinations, and opportunities.",3.7,Transport and Freight
3.6,4,JetBlue Airways Corporation,43,4.2,4,Great place to work. I would have stayed if the pay would have been better. I did not care for the shift bids. It made it hard to plan your family life.,3.7,Transport and Freight
3.6,4,JetBlue Airways Corporation,43,4.2,4,The company is growing rapidly and opportunities for the new agents that come to work for JetBlue.,3.7,Transport and Freight
3.6,4,JetBlue Airways Corporation,43,4.2,4,"This is a great job for anyone who loves travel. Great perks and benefits to do so.  Most feel very overworked and unappreciated by year two, hence very high turnover.",3.7,Transport and Freight
3.6,3.9,Memorial Hermann,50,4,3.8,I worked in several different facilities in the Houston area and provided therapy in the rehabilitation area and acute therapy.  I enjoyed all of the staff and the different areas.  I found it very professional and a good environment.,3.7,NA
3.7,4.1,ConocoPhillips,48,3.9,4.2,Safety is number one and the facilities are very nice. Care about the worker and are very progressive. Very technology savy and always striving to improve.,3.4,Agriculture and Extraction
3.7,4.1,ConocoPhillips,48,3.9,4.2,great company to work for. You don't move up to fast but its great pay. I loved what I did. I loved working with all the people in the field offices. Very down to earth.,3.4,Agriculture and Extraction
3.7,4.1,ConocoPhillips,48,3.9,4.2,"The energy downturn has been difficult on every E&P company COP was probably affected the most by it, as it has sold off much of it's Assets and has not had much in turn to expand its current portfolio.",3.4,Agriculture and Extraction
3.7,4.1,ConocoPhillips,48,3.9,4.2,Great opportunity to work with some very talented people. ConocoPhillips is going through some changes in their work environment and they are incorporating more work-life balance and flexibility.,3.4,Agriculture and Extraction
3.7,4.1,ConocoPhillips,48,3.9,4.2,My daily job and tasks as a Logistics Specialist at ConocoPhillips consist of... Communicating with my 24/7 operators coming off night shift to see if there's anything needing addressed. Then I would follow up with our Fluid management team to see if our Fluid haulers are track and taking care of our Production guys.,3.4,Agriculture and Extraction
3.7,4.1,ConocoPhillips,48,3.9,4.2,A company that has given me different opportunities in my career. I have been a team member of many different projects from system development and implementations to transitioning jobs from other countries.,3.4,Agriculture and Extraction
3.7,4.1,ConocoPhillips,48,3.9,4.2,"Received daily assignments, drove to well site, held safety meeting with crew, discussed job, reviewed possible hazards, and corrections, proceeded with job, learned to lock out tag out,",3.4,Agriculture and Extraction
3.7,4.1,ConocoPhillips,48,3.9,4.2,"I accepted the offer at ConocoPhillips with the idea that this is one of the best of the best companies in Houston to work for. I quickly learned COP was nothing what I envisioned. After several rounds of layoffs, the environment and culture is at its all time low. Tension and fear is in the air of the office day in and day out. I would not recommend this company until management (starting at the ELT level) is changed out and a true company reorganization takes place. Aside from the negative notes, the pay and bonuses at COP are great and work life balance with a flexible work schedule is a plus!",3.4,Agriculture and Extraction
3.7,4.1,ConocoPhillips,48,3.9,4.2,"I interned for ConocoPhillips and spent about 9 months leading up to the split. During my time, it was a great place to learn about energy and a firm with plenty of resources to grow a career.",3.4,Agriculture and Extraction
3.7,4.1,ConocoPhillips,48,3.9,4.2,"The job is great the company as a whole is way above average, local management is lacking in professionalism.  There are some great employees still left in that field and they were a joy to work with and I can only hope that changes are made that benefit those employees.",3.4,Agriculture and Extraction
3.7,3.9,Trader Joe's,46,4.2,4.1,Trader Joe's is a good place to start at ware house job. ,3.7,Retail
3.7,3.9,Trader Joe's,46,4.2,4.1,The hardest part of the job was that you had to bend over all day. The most enjoyable part of the job was the breaks and lunch. An easy job but lots of bending's.,3.7,Retail
3.7,3.9,Trader Joe's,46,4.2,4.1,Focus on Receiving and distribution of multiple palates of wine/spirits 6 days a weeks(during holiday season up to 15 palates per day).,3.7,Retail
3.7,3.9,Trader Joe's,46,4.2,4.1,"My easiest job, but management is very lenient and also shady. A lot of peoples checks get messed with by removing some of the actual hours you worked.",3.7,Retail
3.7,3.9,Trader Joe's,46,4.2,4.1,"Trader Joes was my first job straight outta high school.  Great place to work especially for your first job. I did everything go there I was a caahier, I stocked shelves, and I ordered all the salads.",3.7,Retail
3.7,3.9,Trader Joe's,46,4.2,4.1,You always go with energy to work because time goes fast. The crew treats you like family the managers are friendly. And our #1 priority is customer services.,3.7,Retail
3.7,3.9,Trader Joe's,46,4.2,4.1,"The company provided a reward based pay scale, and rewarded excellence. The company also made work fun. It was relaxed, and included jeans for work clothes. The management and the corporate staff simply expected you to be yourself. They appreciate diversity.",3.7,Retail
3.7,3.9,Trader Joe's,46,4.2,4.1,Great working experience. Learned new positions and certifications available.  Implemented a systematic procedure to assemble product containers and crates,3.7,Retail
3.7,3.9,Trader Joe's,46,4.2,4.1,"This business encourages you to be yourself. I loved working here. I'm very outgoing and humorous and I loved showing that to the customers. The benefits are amazing, the pay is great. You learn so much about food and wine/beer that you never knew before. Hands down, the best place I've ever worked.",3.7,Retail
3.7,4.1,Intuit,45,4.1,4.2,Incredibly strong culture with values anyone can admire.,3.4,Internet and Software
3.7,4.1,Intuit,45,4.1,4.2,"Intuit is a fortune 500 company to work for, good pay and great benefits.  Within the 15 years of service, I learned about the business from end to end.  What happens with customer's payroll, to finances and payroll tax payments and filings.  Workplace culture is worklife balance.  I love all my positions held with Intuit.  The hardest part I would say was leaving.",3.4,Internet and Software
3.7,4.1,Intuit,45,4.1,4.2,"I really enjoyed working there, It was a place that I liked to go to on a daily basis. I liked working with all of the employers that I was in contact with on a regular basis.",3.4,Internet and Software
3.7,4.1,Intuit,45,4.1,4.2,too much micro managing and turnover rate was high except for management enjoyed working with great people just couldn't handle the managers not knowing as much as the techs,3.4,Internet and Software
3.7,4.1,Intuit,45,4.1,4.2,I enjoyed my time spent at Intuit. I had many learning experiences and had the chance to work with many great people and enjoyed helping each customer resolve their issues.,3.4,Internet and Software
3.7,4.1,Intuit,45,4.1,4.2,I worked from home. Intuit is very flexible when it comes to the schedule. The environment is very team oriented and they make sure we have all the resources we need,3.4,Internet and Software
3.7,4.1,Intuit,45,4.1,4.2,Lacerte was the department i worked at it was very unpromising of what advancements would be available in the future. The staff was fun but out of 50 people only 1 was chosen to stay full time.,3.4,Internet and Software
3.7,4.1,Intuit,45,4.1,4.2,"Great, love the company and the people. ",3.4,Internet and Software
3.6,4,JetBlue Airways Corporation,43,4.2,4,Jetblue is a great company to work for. The culture of the company will make anyone feel welcomed. The toughest part of the job is working IROPS and long hours. The perks and benefits are great.,3.7,Transport and Freight
3.6,4,JetBlue Airways Corporation,43,4.2,4,The atmosphere that is cultivated at Jet-blue really makes you want to do better at your job. I would still be working there if not for getting married.,3.7,Transport and Freight
3.6,4,JetBlue Airways Corporation,43,4.2,4,Amazing environment.,3.7,Transport and Freight
3.6,4,JetBlue Airways Corporation,43,4.2,4,Excellent company to work for. Wonderful benefits and great culture. Looked forward to going to work and respected the people that I worked with. Loved working for this company and wish there were more opportunities on the West Coast.,3.7,Transport and Freight
3.7,3.8,"Marriott International, Inc.",49,4,3.7,"I have worked on call for 20 years with this great company.  As a on call position, it is great to have discounted rooms when I travel and exploret the world.",3.7,"Restaurants, Travel and Leisure"
3.6,3.9,Memorial Hermann,50,4,3.8,"Very fast pace, a lot of challenges, lost of patient interaction, problem solving, a lot of Interpretation, love the ER, IT IS A CONTROL CHAOS!!!!   but when your are surrounded with great co-workers it is truly amazing what can be accomplished, and the lives you touch, a great diversity of cultures.",3.7,NA
3.6,3.9,Memorial Hermann,50,4,3.8,i really enjoyed working at TIRR working with brain injury and spinal cord injury patients.  the higher level of care required for these patients was very stimulating.,3.7,NA
3.6,3.9,Memorial Hermann,50,4,3.8,it was a great place to work for a while but some of the staff that were hired made the job more difficult than it needed to be. most vioated polocies and broke rules. but for the others there were a joy to work with. many of the people were kind and caring and really loved their job.,3.7,NA
